Exposure Weight,Ticker,Description,Exposure Value(Notional + GL),Market Value,Shares/Contracts
0.03%,CHTR,CHARTER COMMUNICATIONS INC-A,--,"$10,418,361.36","67,276"
0.02%,CSGP,COSTAR GROUP INC,--,"$7,322,849.74","223,462"
29.96%,--,NASDAQ 100 INDEX SWAP BNP PARIBAS,"10,551,200,241",--,"360,910"
28.05%,--,NASDAQ 100 INDEX SWAP CITIBANK NA,"9,880,666,510",--,"337,974"
27.78%,--,NASDAQ 100 INDEX SWAP BARCLAYS CAPITAL,"9,786,003,613",--,"334,736"
27.38%,--,NASDAQ 100 INDEX SWAP GOLDMAN SACHS INTERNATIONAL,"9,643,541,506",--,"329,863"
26.42%,--,NASDAQ 100 INDEX SWAP BANK OF AMERICA NA,"9,306,579,012",--,"318,337"
25.56%,--,NASDAQ 100 INDEX SWAP JPMORGAN CHASE BANK NA,"9,003,733,750",--,"307,978"
25.52%,--,NASDAQ 100 INDEX SWAP NOMURA CAPITAL,"8,988,882,375",--,"307,470"
23.79%,--,NASDAQ 100 INDEX SWAP UBS AG,"8,378,514,254",--,"286,592"
22.59%,--,NASDAQ 100 INDEX SWAP SOCIETE GENERALE,"7,957,062,638",--,"272,176"
15.98%,--,NASDAQ 100 E-MINI EQUITY INDEX 18/JUN/2026 NQM6 INDEX,"5,629,493,400",--,"9,596"
13.89%,--,NASDAQ 100 INDEX SWAP MORGAN STANLEY & CO. INTERNATIONAL PLC,"4,893,411,096",--,"167,382"
--,IQMM,PROSHARES GENIUS MNY MKT ETF,--,"$7,949,528,000.00","79,400,000"
--,--,TREASURY BILL,--,"$797,686,448.00","800,000,000"
--,--,TREASURY BILL,--,"$745,077,502.50","750,000,000"
--,--,TREASURY BILL,--,"$673,388,997.80","675,000,000"
--,--,TREASURY BILL,--,"$499,950,485.00","500,000,000"
--,--,TREASURY BILL,--,"$498,105,555.00","500,000,000"
--,--,TREASURY BILL,--,"$495,650,605.00","500,000,000"
--,--,TREASURY BILL,--,"$299,911,251.00","300,000,000"
--,--,TREASURY BILL,--,"$199,702,792.00","200,000,000"
--,--,TREASURY BILL,--,"$99,571,831.00","100,000,000"
--,--,NET OTHER ASSETS (LIABILITIES),--,"$11,310,805,571.18","11,310,805,571"
